ID,A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,C1-1,C1-2,C1-3,C1-4,C2-1,C2-2,C2-3,C3-1,C3-2,C3-3,C4-1,C4-2,C4-3,C5-1,C5-2,C6-1,C6-2,C6-3,C6-4,C6-5,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E4,F1,F2,F3,F4,F5,F6
160,5,1,1,.,4,5,.,1,2,4,1,1,2,3,2,4,2,2,3,2,3,3,2,3,3,2,2,2,3,2,2,2,.,2,.,.,.,.,4,5,1,5,4,3,1,4,4,3,1,1
161,2,1,1,.,4,1,.,1,2,3,1,3,1,3,2,4,3,3,2,3,2,3,2,1,3,2,3,1,2,3,2,2,.,2,.,.,.,.,1,1,5,6,2,1,1,2,4,3,2,1
162,2,1,1,.,4,1,.,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,4,3,2,1,5,.,.,.,.,5,.,2,2,2,5,3,4,1,1,1,1,2,5
163,3,1,1,2,3,1,.,1,2,2,1,2,2,2,2,3,3,3,4,3,3,3,2,2,3,4,3,3,3,3,2,2,.,2,.,.,.,.,4,2,2,3,4,4,1,3,4,3,2,2
164,3,1,1,3,3,2,.,2,2,2,1,2,2,3,1,3,3,2,2,1,3,2,3,2,4,1,2,3,3,4,3,2,.,2,.,.,.,.,1,1,4,3,4,4,1,3,4,1,2,2
165,3,1,2,3,2,.,1,2,1,1,1,2,3,3,3,3,3,3,4,3,4,4,3,3,4,4,2,4,3,3,2,2,.,6,.,.,.,.,1,1,2,5,5,1,1,3,4,3,2,1
166,3,1,1,3,3,2,.,1,2,4,1,3,2,2,2,3,4,2,3,3,2,1,1,2,3,4,3,2,3,2,1,1,1,.,.,.,.,.,1,1,1,3,5,2,1,3,4,2,1,4
167,3,1,1,2,4,1,.,1,2,3,1,3,3,3,1,3,4,3,4,4,3,2,1,1,3,4,2,3,3,3,1,2,.,2,.,.,.,.,2,2,2,5,5,5,1,3,4,1,2,4
168,3,1,2,3,2,.,2,1,2,2,1,2,3,3,2,3,2,2,3,3,3,3,2,3,3,4,4,2,1,3,3,5,.,.,.,.,4,.,1,1,2,6,4,1,1,3,4,3,2,6
169,3,1,2,3,3,2,.,2,1,1,1,3,2,2,1,3,3,1,3,3,1,1,1,1,3,4,4,2,3,2,1,1,8,.,.,.,.,.,2,2,1,2,4,5,1,3,4,2,2,1
170,3,1,2,.,3,2,.,2,1,2,1,4,3,3,2,4,4,2,4,4,4,4,3,2,4,3,2,4,4,3,2,3,.,.,1,.,.,.,2,2,3,2,5,1,1,3,4,2,2,4
171,4,1,1,2,4,1,.,1,2,3,1,3,4,3,3,4,4,2,4,4,4,3,1,4,4,4,4,4,2,3,4,2,.,7,.,.,.,.,2,3,2,3,4,4,1,3,4,2,1,2
172,2,1,1,2,1,.,2,1,2,2,1,2,1,2,1,3,3,1,1,1,1,2,2,1,3,1,3,4,3,3,2,2,.,2,.,.,.,.,1,5,2,5,3,6,2,1,1,2,2,4
173,1,1,2,.,3,2,.,1,2,3,1,4,1,1,1,2,1,1,3,4,1,3,1,2,3,1,4,2,1,3,1,2,.,2,.,.,.,.,1,1,3,2,1,6,2,1,1,3,2,1
174,5,1,1,2,4,5,.,2,1,2,1,3,3,3,1,1,3,3,4,4,2,4,4,2,2,1,3,2,3,4,2,3,.,.,1,.,.,.,2,1,4,3,4,1,2,1,1,3,1,1
175,5,1,1,.,3,5,.,1,2,3,1,3,2,3,1,3,3,3,3,2,3,3,3,2,3,2,3,3,2,2,2,5,.,.,.,.,7,.,2,2,2,5,5,4,1,3,4,2,1,1
176,4,1,1,2,3,5,.,2,1,4,2,3,3,3,2,3,2,1,4,3,3,3,2,2,2,2,2,2,3,2,1,2,.,2,.,.,.,.,2,1,2,3,3,4,1,3,4,1,1,4
177,5,1,1,2,2,.,6,2,1,1,1,1,2,4,2,3,2,3,3,2,2,3,3,2,3,2,3,3,3,2,3,2,.,2,.,.,.,.,1,2,2,5,3,4,1,3,4,2,2,5
178,5,1,1,3,4,1,.,1,2,3,1,4,2,1,1,3,2,1,3,2,2,3,1,1,2,1,4,1,1,3,1,2,.,2,.,.,.,.,1,1,2,5,4,2,1,4,4,2,2,4
179,3,1,1,.,2,.,3,2,1,3,1,3,3,3,2,2,3,2,3,3,3,3,2,2,4,4,2,3,3,3,3,2,.,1,.,.,.,.,1,2,4,3,5,5,1,1,1,1,1,7
180,4,1,1,.,2,.,1,1,2,4,1,3,2,3,1,3,2,1,3,2,3,3,1,2,4,4,2,3,2,1,1,4,.,.,.,2,.,.,2,2,4,5,5,2,1,3,1,3,2,1
181,4,1,1,.,4,1,.,1,2,1,1,4,2,3,2,4,2,2,3,3,3,3,2,2,3,1,3,2,2,3,3,3,.,.,1,.,.,.,1,1,3,6,4,4,1,1,1,1,2,2
182,4,1,1,.,3,1,.,2,1,1,1,1,1,4,1,4,4,1,4,4,1,1,1,1,4,1,3,1,1,1,1,2,.,1,.,.,.,.,3,4,2,6,3,2,1,1,1,1,1,2
183,3,1,1,.,3,1,.,1,1,1,2,4,4,4,4,3,4,2,2,4,4,3,3,1,3,1,3,4,3,3,3,5,.,.,.,.,7,.,1,2,1,3,2,5,1,1,1,2,2,1
184,2,1,1,3,3,5,.,1,2,4,2,2,1,1,1,3,1,1,1,3,2,1,1,1,2,1,3,2,2,2,2,2,.,2,.,.,.,.,1,1,2,5,3,1,1,1,1,1,2,2
185,3,1,1,3,3,5,.,1,2,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,3,2,2,2,3,3,1,2,.,2,.,.,.,.,4,2,2,5,3,4,1,3,4,3,2,2
186,5,1,1,2,2,.,1,2,1,4,1,2,1,1,1,1,3,1,4,1,1,1,1,3,3,3,3,4,1,2,1,2,.,2,.,.,.,.,1,1,2,6,3,1,1,3,4,2,1,5
187,4,1,1,2,2,.,5,2,1,4,1,1,3,4,2,4,4,3,4,3,4,4,4,2,4,1,3,3,1,4,3,4,.,.,.,1,.,.,3,4,4,5,5,1,2,1,1,1,1,5
188,4,1,1,2,3,1,.,1,1,1,1,4,2,2,3,2,2,2,3,3,4,3,3,2,2,2,4,4,4,4,2,2,.,2,.,.,.,.,1,1,2,5,2,3,2,1,2,1,1,6
189,3,1,1,.,3,5,.,1,2,4,1,2,1,1,1,3,2,2,2,2,3,3,2,2,3,2,3,3,2,3,3,2,.,1,.,.,.,.,4,3,2,3,5,5,2,2,2,2,1,6
190,4,1,1,.,2,.,2,2,1,2,1,2,3,1,2,3,1,1,3,3,3,3,2,2,3,3,3,3,2,1,1,2,.,2,.,.,.,.,4,2,2,5,5,3,2,1,2,1,2,1
